country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2011,59.1,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2015,60.4,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,70.1,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2023,43.8,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2011,61.9,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2015,62.4,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,65.2,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2023,46.8,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2011,60.5,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2015,61.5,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,67.7,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Afghanistan,AF,AFG,4,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2023,45.3,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2005,61,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,83,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2005,32,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,80.8,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2000,83,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2005,45,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2009,69.6,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Albania,AL,ALB,8,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2018,81.8,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2006,51,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2013,65.6,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2019,44.4,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2006,54,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2013,67.1,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2019,49,Male,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2002,52,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2006,53,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2013,66.4,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Algeria,DZ,DZA,12,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2019,47,Total,Units,%,Reported,Free,End of fieldwork,Under 5 years old
Angola,AO,AGO,24,Careseeking for ARI - percentage of children (under age 5) with acute respiratory infection symptoms whom advice or treatment was sought from a health facility or provider,2016,47.2,Female,Units,%,Reported,Free,End of fieldwork,Under 5 years old
